mal_id,title,type,source,episodes,status,airing,aired_from,aired_to,duration,rating,score,scored_by,rank,popularity,members,favorites,season,year,studios,producers,licensors,genres,themes,demographics,synopsis
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,Manga,94,Finished Airing,False,1996-01-10,1998-09-08,25 min per ep,PG-13 - Teens 13 or older,8.28,248169,347,485,524698,10405,winter,1996,Gallop|Studio Deen,Aniplex|SME Visual Works|Fuji TV,Media Blasters|Aniplex of America,Action|Comedy|Romance,Historical|Samurai,Shounen,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans.

Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels.

Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save "
52,Kidou Tenshi Angelic Layer,TV,Manga,26,Finished Airing,False,2001-04-01,2001-09-23,24 min per ep,PG-13 - Teens 13 or older,7.27,30212,3360,3166,62807,332,spring,2001,Bones,Dentsu|TV Tokyo Music,ADV Films|Sentai Filmworks,Award Winning|Comedy|Drama|Sci-Fi,Strategy Game,Shounen,"12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation."
53,Ai Yori Aoshi,TV,Manga,24,Finished Airing,False,2002-04-11,2002-09-26,23 min per ep,PG-13 - Teens 13 or older,7.11,55795,4351,2153,117100,475,spring,2002,J.C.Staff,Movic|Fuji TV|Pioneer LDC|Cosmic Ray,Funimation|Geneon Entertainment USA,Comedy|Drama|Romance,Harem,Seinen,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kaoru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place."
57,Beck,TV,Manga,26,Finished Airing,False,2004-10-07,2005-03-31,24 min per ep,R - 17+ (violence & profanity),8.29,151170,326,726,375672,9225,fall,2004,Madhouse,Marvelous Entertainment|Starchild Records|Asatsu DK|Kodansha|DefSTAR Records,Funimation,Drama,Music,Shounen,"Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band. 

After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan.

[Written by MAL Rewrite]"
60,Chrno Crusade,TV,Manga,24,Finished Airing,False,2003-11-25,2004-06-10,23 min per ep,R - 17+ (violence & profanity),7.6,107672,1766,1188,237868,1969,fall,2003,Gonzo,Lantis|Kadokawa Shoten|Fuji TV,ADV Films|Funimation,Action|Romance|Supernatural,Historical|Mythology,Shounen,"The 1920s was a decade of great change and upheaval, with monstrous demons appearing across America. To combat this menace, the holy organization known as the Order of Magdalene was established. The organization's New York branch is home to the young and reckless Sister Rosette Christopher, as well as her partner Chrno. Tasked with the extermination of demonic threats, the renowned team is excellent at their job, despite causing extensive collateral damage on their missions.

However, both Rosette and Chrno are driven by their dark pasts. Through exterminating demons, Rosette hopes to find her lost brother Joshua who was taken by the sinner and demon, Aion, with whom Chrno also shares a bloody history. The two of them must fight off the increasingly dangerous demonic menace and discover its source, while continuing to search for the truth behind Joshua's disappearance.

[Written by MAL Rewrite]"
61,D.N.Angel,TV,Manga,26,Finished Airing,False,2003-04-03,2003-09-25,23 min per ep,PG-13 - Teens 13 or older,7.16,101587,4057,1441,191938,1300,spring,2003,Xebec,Kadokawa Shoten,ADV Films|Discotek Media,Action|Comedy|Fantasy|Romance,School,Shoujo,"Daisuke Niwa is a clumsy, block-headed, and wimpy middle school student who has few redeeming qualities. On his 14th birthday, he finally decides to confess his love to his longtime crush Risa Harada, but is rejected. 

In an unexpected turn of events, however, Daisuke finds himself transforming into Dark Mousy, the infamous phantom thief, whenever his mind is set on Risa. Though Daisuke is unaware of this strange heritage, his mother is certainly not: since before the boy was born, his mother had been planning for him to steal valuable works of art and let the name of the elusive art thief be known.

With doubt and confusion constantly clouding his mind, Daisuke finds himself struggling in his relationships with classmates and family. And it is not long before Daisuke realizes that he is not the only one with a fated family legacy—his greatest adversary could be the one classmate he is most unwilling to fight. 

[Written by MAL Rewrite]"
67,Basilisk: Kouga Ninpou Chou,TV,Manga,24,Finished Airing,False,2005-04-13,2005-09-21,24 min per ep,R - 17+ (violence & profanity),7.54,81995,2001,1372,203418,1466,spring,2005,Gonzo,GDH|Kodansha|Sotsu Music Publishing|Future Vision Music,Funimation,Action|Drama|Romance,Adult Cast|Gore|Historical|Martial Arts|Samurai,Seinen,"For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms.

Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war.

Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each "
68,Black Cat,TV,Manga,23,Finished Airing,False,2005-10-07,2006-03-31,24 min per ep,PG-13 - Teens 13 or older,7.32,133651,3040,991,283011,1854,fall,2005,Gonzo,GDH|Dentsu|TBS|Sotsu Music Publishing|Future Vision Music,Funimation,Action|Adventure|Sci-Fi,Super Power,Shounen,"Completing every job with ruthless accuracy, Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world, the elite killer works for the powerful secret organization known only as Chronos.

One gloomy night, the blasé gunman stumbles upon Saya Minatsuki, an enigmatic bounty hunter, and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life, Train begins to rethink his life. Deciding to abandon his role as the Black Cat, he instead opts to head down a virtuous path as an honest bounty hunter. However, Chronos—and particularly Creed Diskenth, Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck.

This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out.

[Written by MAL Rewrite]"
74,Gakuen Alice,TV,Manga,26,Finished Airing,False,2004-10-30,2005-05-14,25 min per ep,G - All Ages,7.66,54300,1556,2282,106967,1515,fall,2004,Group TAC,Aniplex|Sogo Vision,Nozomi Entertainment,Comedy,School|Super Power,Shoujo,"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend!

Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru.

Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as we"
100,Shin Shirayuki-hime Densetsu Prétear,TV,Manga,13,Finished Airing,False,2001-04-04,2001-06-27,23 min per ep,PG-13 - Teens 13 or older,7.17,30528,4020,2999,69124,468,spring,2001,HAL Film Maker,Kadokawa Shoten|Rondo Robe,ADV Films|Funimation,Drama|Romance,Mahou Shoujo|Reverse Harem,Shoujo,"Due to her father's remarriage, robust 16-year-old Himeno Awayuki moves into a large mansion with a beautiful garden—the quintessential dream house for any girl her age. However, much to Himeno's disappointment, her new stepfamily doesn't really seem to like her, as her stepmother often occupies herself with her father, her younger stepsister Mawata ignores her, and her other stepsister—the equally aged Mayune—tries to prank her at every opportunity.

But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights, after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear, she feels doubtful in her abilities to protect the world and its Leafe, the source of energy for all life. Will Himeno be able to find happiness among her new family and also save the Earth from the enemy, the Princess of Disaster?

[Wr"
104,Ayashi no Ceres,TV,Manga,24,Finished Airing,False,2000-04-20,2000-09-28,21 min per ep,R - 17+ (violence & profanity),7.18,28784,3912,3064,66585,498,spring,2000,Studio Pierrot,Bandai Visual|Shogakukan,VIZ Media|Discotek Media,Adventure|Drama|Horror|Romance|Supernatural,Psychological|Reincarnation,Shoujo,"Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed.

Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently.

With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction."
106,Hana yori Dango,TV,Manga,51,Finished Airing,False,1996-09-08,1997-08-31,24 min per ep,PG-13 - Teens 13 or older,7.59,27303,1808,3046,67434,841,fall,1996,Toei Animation,Asatsu DK|Asahi Broadcasting,VIZ Media|Discotek Media,Drama|Romance,Love Polygon|School,Shoujo,"Makino Tsukushi, a girl who comes from a poor family, just wants to get through her two last years at Eitoku Gakuen quietly. But once she makes herself known by standing up for her friend to the F4, the four most popular, powerful, and rich boys at the school, she gets the red card: F4's way of a ""Declaration of War."" But when she doesn't let herself be beaten by them and is starting to fall for one of the F4, Hanazawa Rui, she starts to see that there is more than meets the eye...

(Source: ANN)"
114,Sakigake!! Cromartie Koukou,TV,Manga,26,Finished Airing,False,2003-10-03,2004-03-26,11 min per ep,PG-13 - Teens 13 or older,7.89,58439,959,1726,154569,1774,fall,2003,Production I.G,TV Tokyo Music,ADV Films|Sentai Filmworks|Discotek Media,Comedy,Delinquents|Gag Humor|Parody|School,Shounen,"Takashi Kamiyama is your typical mild-mannered high school student—polite, aloof, and pacifistic, with a slightly above-average IQ. But would your average high school student really enroll himself at the infamous Cromartie High School, known as a breeding ground for the toughest delinquents out there?

Apparently so, as that is exactly what Takashi does, though for reasons he'd rather leave unmentioned. However, one thing is for sure: the ""hard-boiled rabbit in a den full of hungry lions"" is never going to have another dull day. And how could he, now that he's surrounded by mohawked punks, obnoxious robots, and... gorillas? And was that Freddie Mercury riding a horse down the corridor? Follow Takashi as he earnestly dedicates his new high school life to better his school's reputation while his classmates are hellbent on wreaking havoc.

[Written by MAL Rewrite]"
120,Fruits Basket,TV,Manga,26,Finished Airing,False,2001-07-05,2001-12-27,24 min per ep,PG-13 - Teens 13 or older,7.69,294749,1456,438,567170,10010,summer,2001,Studio Deen,TV Tokyo|Nihon Ad Systems|King Records,Funimation,Drama|Romance|Supernatural,Love Polygon|School,Shoujo,"After the accident in which she lost her mother, 16-year-old Tooru moves in with her grandfather, but due to his home being renovated, is unable to continue living with him. Claiming she will find someone to stay with but also fearing the criticism of her family and not wanting to burden any of her friends, Tooru resorts to secretly living on her own in a tent in the woods.

One night on her way back from work, she finds her tent buried underneath a landslide. Yuki Souma, the ""prince"" of her school, and his cousin Shigure Souma, a famous author, stumble across Tooru's situation and invite her to stay with them until her grandfather's home renovations are complete.

Upon arriving at the Souma house, Tooru discovers their secret: if a Souma is hugged by someone of the opposite gender, they temporarily transform into one of the animals of the zodiac! However, this strange phenomenon is no laughing matter; rather, it is a terrible curse that holds a dark history. As she continues her journ"
121,Fullmetal Alchemist,TV,Manga,51,Finished Airing,False,2003-10-04,2004-10-02,24 min per ep,R - 17+ (violence & profanity),8.12,931774,556,88,1556106,26870,fall,2003,Bones,Aniplex|Dentsu|Square Enix|Mainichi Broadcasting System,Funimation|Aniplex of America,Action|Adventure|Award Winning|Drama|Fantasy,Military,Shounen,"Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation, Edward loses his brother as well as two of his limbs. With his supreme alchemy skills, Edward binds Alphonse's soul to a large suit of armor.

A year later, Edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the Philosopher's Stone. The fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However, the Elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the"
122,Full Moon wo Sagashite,TV,Manga,52,Finished Airing,False,2002-04-06,2003-03-29,24 min per ep,PG-13 - Teens 13 or older,7.95,50325,822,2143,118177,1927,spring,2002,Studio Deen,TV Tokyo|Nihon Ad Systems,VIZ Media|AnimEigo,Comedy|Drama|Romance|Supernatural,Music|Showbiz,Shoujo,"Two years ago, Mitsuki Kouyama's friend, Eichi Sakurai, moved to America before she could confess her feelings to him. Though she cannot contact him, they made a promise to fulfill their respective dreams: Mitsuki wants to become a professional singer, and Eichi an astronomer. She hopes that one day her music will reach him across the world with a brilliance like that of the full moon.

There is just one catch: Mitsuki suffers from throat cancer, which makes her voice quiet and singing strenuous. Her grandmother, who has a hatred of music, insists that Mitsuki undergo surgery to remove the cancer, but she refuses due to the risk of losing her voice. One day, two shinigami—Meroko Yui and Takuto Kira—appear to tell her that she only has one year left to live. This sudden revelation spurs Mitsuki into action, and she decides that with Meroko and Takuto's help, she will become a professional singer in the time she has left.

Full Moon wo Sagashite follows the emotional story of Mitsuki and"
123,Fushigi Yuugi,TV,Manga,52,Finished Airing,False,1995-04-06,1996-03-28,23 min per ep,PG-13 - Teens 13 or older,7.61,54507,1725,1992,129017,2166,spring,1995,Studio Pierrot,TV Tokyo|Yomiko Advertising|Apollon,Media Blasters|Geneon Entertainment USA,Action|Adventure|Fantasy|Romance,Historical|Isekai|Martial Arts|Reverse Harem,Shoujo,"During a visit to the National Library, Miaka Yuuki and Yui Hongo stumble upon a strange old book that casts a red light, sucking them inside its unfamiliar world. Upon arrival, the two encounter hostile slave traders and barely escape with the help of Tamahome—a powerful young man bearing a Chinese symbol on his forehead. But, a moment later, the red light returns and takes Yui away. 

Desperate to reunite with her companion, Miaka asks Tamahome for assistance. However, the situation escalates when the pair encounters the land's emperor, Hotohori, who believes Miaka is the foretold priestess of the kingdom's protector god Suzaku. By gathering the god's seven Celestial Warriors, the priestess can summon Suzaku and have all her wishes granted. Hotohori hopes this will save his country, and since it appears to be a fitting solution to the girl's problems as well, he convinces her to accept the role.

Meanwhile, at the library, Yui realizes she has been brought back alone. Unable to inter"
130,Saiyuuki Reload,TV,Manga,25,Finished Airing,False,2003-10-02,2004-03-25,23 min per ep,PG-13 - Teens 13 or older,7.35,14274,2916,4162,38341,121,fall,2003,Studio Pierrot,Zet,Discotek Media|Geneon Entertainment USA,Action|Adventure|Comedy|Drama|Supernatural,Mythology,Josei,"Priest Genjo Sanzo and companions Cho Hakkai, Sha Gojyo, and Son Goku maintain their westward journey to stop the resurrection of the demon Gyoumao. As the reputation of the Sanzo Ikkou precedes them, they continue to fight demon assassins at every turn, but they must also deal with increasing tensions within their group in order to defeat a powerful enemy. 

(Source: ANN)"
131,Saiyuuki Reload Gunlock,TV,Manga,26,Finished Airing,False,2004-04-02,2004-09-24,24 min per ep,PG-13 - Teens 13 or older,7.36,9085,2869,5018,25417,49,spring,2004,Studio Pierrot,Zet,Geneon Entertainment USA,Action|Adventure|Comedy|Drama|Supernatural,Mythology,Josei,"The Sanzo Ikkou continues its westward journey, on a mission to prevent a demonic resurrection. As Genjo Sanzo, Cho Hakkai, Sha Gojyo, and Son Goku fight their way to their goal, their path is fraught with internal strife. When they encounter a formidable pair of adversaries from the west, the cohesion of the group -- and the fate of the mission -- may be at stake. 

(Source: ANN)"
132,GetBackers,TV,Manga,49,Finished Airing,False,2002-10-05,2003-09-20,24 min per ep,PG-13 - Teens 13 or older,7.57,55653,1879,1996,128860,915,fall,2002,Studio Deen,TBS|Kodansha|Rondo Robe|Rakuonsha,ADV Films|Sentai Filmworks,Action|Mystery|Supernatural,Super Power,Shounen,"Mido Ban and Amano Ginji are known as the Get Backers, retrievers with a success rate of 100%. Whatever is lost or stolen, they can definitely get it back. Despite their powerful abilities and enthusiastic behavior, Ban and Ginji are terminally broke no matter what they do simply because few people would actually desire to hire them. As a result, the pair of them tend to do dangerous jobs, often leading to unwanted re-encounters with their old (and dangerous) friends."
